state_id,episode,seed,step,teacher_macro,num_candidates,beneficial_candidates,regret_candidates,teacher_reward,teacher_success,teacher_cost_ratio
ep12_step5_seed12,12,,5,direct_solve,3,2,1,-72.82929920397228,False,0.6666666666666666
ep12_step6_seed12,12,,6,research_context,3,1,2,-69.74016464522666,False,0.6015151515151516
ep12_step8_seed12,12,,8,direct_solve,2,1,1,-74.9359833038655,False,0.6015151515151516
ep12_step9_seed12,12,,9,direct_solve,2,2,0,-85.02847421800001,False,0.6666666666666666
ep12_step10_seed12,12,,10,direct_solve,2,2,0,-85.42878718330695,False,0.6666666666666666
ep12_step11_seed12,12,,11,direct_solve,2,2,0,-77.20051494532407,False,0.6666666666666666
ep12_step12_seed12,12,,12,direct_solve,2,2,0,-66.95175225121648,False,0.6666666666666666
ep12_step13_seed12,12,,13,decompose_shallow,1,1,0,-54.48658039756444,False,0.6227272727272727
ep12_step14_seed12,12,,14,direct_solve,3,1,2,-50.90556755438855,False,0.6666666666666666
ep12_step15_seed12,12,,15,direct_solve,1,1,0,-50.62696374430696,False,0.6666666666666666
ep12_step16_seed12,12,,16,direct_solve,2,2,0,-46.329009449934375,False,0.6666666666666666
ep12_step17_seed12,12,,17,decompose_shallow,1,1,0,-35.51917339265842,False,0.6666666666666666
ep12_step18_seed12,12,,18,direct_solve,3,3,0,-36.232810679902535,False,0.6666666666666666
ep12_step19_seed12,12,,19,direct_solve,1,1,0,-35.92339626778593,False,0.6666666666666666
ep12_step20_seed12,12,,20,direct_solve,2,2,0,-31.59939771126636,False,0.6666666666666666
ep12_step21_seed12,12,,21,decompose_shallow,1,0,1,-20.767746335321185,False,0.6666666666666666
ep13_step0_seed13,13,,0,research_context,3,1,2,-22.445079566329746,False,0.6265151515151515
ep13_step1_seed13,13,,1,research_context,3,0,3,-35.4381526070246,False,0.6265151515151515
ep13_step2_seed13,13,,2,direct_solve,2,1,1,-26.174749593693242,False,0.6265151515151515
ep13_step3_seed13,13,,3,direct_solve,2,1,1,-34.67236952774055,False,0.6265151515151515
ep13_step4_seed13,13,,4,direct_solve,3,2,1,-52.27960664671776,False,0.6265151515151515
ep13_step5_seed13,13,,5,direct_solve,3,2,1,-58.60077627190373,False,0.6265151515151515
ep13_step6_seed13,13,,6,research_context,3,3,0,-66.00824419620682,False,0.6265151515151515
ep13_step9_seed13,13,,9,direct_solve,3,3,0,-72.0043426625794,False,0.6265151515151515
ep13_step10_seed13,13,,10,direct_solve,2,2,0,-54.866527073924544,False,0.6265151515151515
ep13_step11_seed13,13,,11,direct_solve,2,2,0,-57.58224875440462,False,0.6265151515151515
ep13_step12_seed13,13,,12,decompose_shallow,1,0,1,-31.903689689809376,False,0.6265151515151515
ep13_step13_seed13,13,,13,direct_solve,3,2,1,-43.62116615511586,False,0.6265151515151515
ep13_step14_seed13,13,,14,direct_solve,1,0,1,-22.035181280292626,False,0.6053030303030303
ep13_step15_seed13,13,,15,direct_solve,2,1,1,-28.123826170634658,False,0.6265151515151515
ep13_step16_seed13,13,,16,decompose_shallow,1,0,1,-17.331719002139717,False,0.6265151515151515
ep13_step17_seed13,13,,17,direct_solve,3,3,0,-18.0208303450514,False,0.6265151515151515
ep13_step18_seed13,13,,18,direct_solve,1,1,0,-17.727358030397525,False,0.6265151515151515
ep13_step19_seed13,13,,19,direct_solve,2,1,1,-13.418490103348859,False,0.6265151515151515
ep13_step20_seed13,13,,20,decompose_shallow,1,0,1,-2.6012646266321235,False,0.6265151515151515
ep13_step21_seed13,13,,21,submit,3,0,3,-3.004656382147367,False,0.6265151515151515
ep14_step0_seed14,14,,0,research_context,3,3,0,-58.06100135093592,False,0.5643939393939394
ep14_step1_seed14,14,,1,direct_solve,2,1,1,-61.08352908337636,False,0.5643939393939394
